Material,HDT (°C),Tensile Strength (MPa),Tensile Modulus (GPa),Max Price/kg (USD),Chemical Resistance,Bed Temp (°C),Enclosure Temp (°C),Hotend Temp (°C),Ease of Printing,Other Info,UL94V0,Flexible,Crystallinity,Technology,Link
PLA,80,56,3.46,25,fair,60,22,200,Easy,best starter material,no,false,Semicrystalline,FDM,https://www.3dxtech.com/product/ecomax-pla/
ABS,95,42,2.34,25,fair,100,60,235,Moderate,bad fumes,no,false,Amorphous,FDM,https://www.3dxtech.com/product/3dxtech-abs/
PETG,76,45,1.65,30,fair,70,22,240,easy,step up from PLA,no,false,Amorphous,FDM,https://www.3dxtech.com/product/max-g-petg/
PEEK,182,100,3.72,588,very good,140,90,400,very hard,if you can use PEKK instead of PEEK use PEKK,yes,false,Semicrystalline,FDM,https://www.3dxtech.com/product/thermax-peek/
PEKK A,150,105,2.75,695,very good,120,90,385,moderate,"Amorphous PEKK, easiest high temp material to print (60-40 copolymer)",yes,false,Amorphous,FDM,https://www.3dxtech.com/product/thermax-pekk-a/
PSU,172,52,2.1,155,very good,140,90,370,hard,"pretty good mechanical, chemical, and thermal resistance",yes,false,Amorphous,FDM,https://www.3dxtech.com/product/thermax-psu/
PPS,90,50,2.65,200,very good,110,70,310,moderate,insoluble in any solvent under 200c,yes,false,Semicrystalline,FDM,https://www.printedsolid.com/products/3dxtech-thermax-pps-1-75mm-500g-natural
PPSU,190,55,2.31,250,very good,140,90,390,hard,a better but harder to print PSU,yes,false,Amorphous,FDM,https://www.3dxtech.com/product/thermax-ppsu/
TPI,237,74,2.95,390,very good,180,220,450,very hard,very few printers can actually print this,yes,false,Amorphous,FDM,https://www.3dxtech.com/product/thermax-tpi-made-using-extem/
ULTEM 1010,207,95,2.3,278,very good,140,90,410,hard,also known as PEI,yes,false,Amorphous,FDM,https://www.prusa3d.com/product/prusament-pei-1010-natural-500-g
ULTEM 9085,158,54,2.05,220,good,120,90,375,hard,"ULTEM 1010 + PC, so less rigid",yes,false,Amorphous,FDM,https://www.3dxtech.com/product/thermax-pei-using-ultem-9085/
PVDF,158,51,2.45,253,very good,90,22,260,hard,fumes are very bad,yes,false,Semicrystalline,FDM,https://www.3dxtech.com/product/fluorx-pvdf/
PES,205,56,2.6,190,very good,140,90,380,hard,has very strong thermal properties,yes,false,Amorphous,FDM,https://www.3dxtech.com/product/thermax-pes/
ASA,95,42,2.01,30,fair,100,60,240,Moderate,a better ABS,no,false,Amorphous,FDM,https://www.3dxtech.com/product/3dxmax-asa/
PP,139,38,1.65,30,very good,60,22,230,Moderate,often used for living hinges,no,true,Semicrystalline,FDM,https://fiberlogy.com/en/fiberlogy-filaments/pp/
CF PEEK-10,265,105,8.1,595,very good,130,90,400,hard,makes PEEK easier to print,yes,false,Semicrystalline,FDM,https://www.3dxtech.com/product/carbonx-peek-cf10/
CF PEEK-20,320,126,10.1,750,very good,130,90,400,hard,makes PEEK easier to print,yes,false,Semicrystalline,FDM,https://www.3dxtech.com/product/carbonx-peek-cf20/
CF PEKK,270,105,8.21,333,very good,120,70,385,moderate,use this instead of CF PEEK if you can,yes,false,Semicrystalline,FDM,https://www.3dxtech.com/product/carbonx-pekk-a-cf15/
CF PEI 1010,205,145,7.7,450,very good,130,90,390,hard,"good at pretty much everything, but hard to print and expensive",yes,false,Amorphous,FDM,https://visionminer.com/products/carbonx-cf-pei
